date_id,date,year,quarter,month,month_name,day,day_of_week,day_name,week_of_year,is_weekend
20160104,2016-01-04,2016,1,1,January,4,1,Monday,1,0
20160105,2016-01-05,2016,1,1,January,5,2,Tuesday,1,0
20160106,2016-01-06,2016,1,1,January,6,3,Wednesday,1,0
20160107,2016-01-07,2016,1,1,January,7,4,Thursday,1,0
20160108,2016-01-08,2016,1,1,January,8,5,Friday,1,0
20160109,2016-01-09,2016,1,1,January,9,6,Saturday,1,1
20160110,2016-01-10,2016,1,1,January,10,7,Sunday,1,1
20160111,2016-01-11,2016,1,1,January,11,1,Monday,2,0
20160112,2016-01-12,2016,1,1,January,12,2,Tuesday,2,0
20160113,2016-01-13,2016,1,1,January,13,3,Wednesday,2,0
20160114,2016-01-14,2016,1,1,January,14,4,Thursday,2,0
20160115,2016-01-15,2016,1,1,January,15,5,Friday,2,0
20160116,2016-01-16,2016,1,1,January,16,6,Saturday,2,1
20160117,2016-01-17,2016,1,1,January,17,7,Sunday,2,1
20160118,2016-01-18,2016,1,1,January,18,1,Monday,3,0
20160119,2016-01-19,2016,1,1,January,19,2,Tuesday,3,0
20160120,2016-01-20,2016,1,1,January,20,3,Wednesday,3,0
20160121,2016-01-21,2016,1,1,January,21,4,Thursday,3,0
20160122,2016-01-22,2016,1,1,January,22,5,Friday,3,0
20160123,2016-01-23,2016,1,1,January,23,6,Saturday,3,1
20160124,2016-01-24,2016,1,1,January,24,7,Sunday,3,1
20160125,2016-01-25,2016,1,1,January,25,1,Monday,4,0
20160126,2016-01-26,2016,1,1,January,26,2,Tuesday,4,0
20160127,2016-01-27,2016,1,1,January,27,3,Wednesday,4,0
20160128,2016-01-28,2016,1,1,January,28,4,Thursday,4,0
20160129,2016-01-29,2016,1,1,January,29,5,Friday,4,0
20160130,2016-01-30,2016,1,1,January,30,6,Saturday,4,1
20160131,2016-01-31,2016,1,1,January,31,7,Sunday,4,1
20160201,2016-02-01,2016,1,2,February,1,1,Monday,5,0
20160202,2016-02-02,2016,1,2,February,2,2,Tuesday,5,0
