listing_id,listing_name,host_id,host_name,property_type,room_type_id,location_id,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,maximum_nights,number_of_reviews,actual_review_count,first_review_date,last_review_date,review_scores_rating,reviews_per_month
241032,Stylish Queen Anne Apartment,956883,Maija,Apartment,1,3229,4,1.0,1.0,1.0,Real Bed,85.0,1,365,207,207,2011-11-01,2016-01-02,95.0,4.07
953595,Bright & Airy Queen Anne Apartment,5177328,Andrea,Apartment,1,3230,4,1.0,1.0,1.0,Real Bed,150.0,2,90,43,43,2013-08-19,2015-12-29,96.0,1.48
3308979,New Modern House-Amazing water view,16708587,Jill,House,1,3231,11,4.5,5.0,7.0,Real Bed,975.0,4,30,20,20,2014-07-30,2015-09-03,97.0,1.15
7421966,Queen Anne Chateau,9851441,Emily,Apartment,1,3232,3,1.0,0.0,2.0,Real Bed,100.0,1,1125,0,0,,,0.0,0.0
278830,Charming craftsman 3 bdm house,1452570,Emily,House,1,3233,6,2.0,3.0,3.0,Real Bed,450.0,1,1125,38,38,2012-07-10,2015-10-24,92.0,0.89
5956968,Private unit in a 1920s mansion,326758,Andrew,House,2,3234,2,1.0,1.0,1.0,Real Bed,120.0,1,6,17,17,2015-06-11,2015-09-28,95.0,2.45
1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,House,2,3235,2,1.0,1.0,1.0,Real Bed,80.0,3,14,58,58,2014-01-27,2015-12-07,99.0,2.46
856550,Tiny Garden cabin on Queen Anne  ,4016632,Jean-Marc,Cabin,2,3236,2,1.0,1.0,1.0,Real Bed,60.0,2,7,173,173,2013-01-03,2016-01-01,97.0,4.73
4948745,Urban Charm || Downtown || Views,2166277,Aliza,Apartment,2,3226,2,1.0,1.0,1.0,Real Bed,90.0,3,1125,8,8,2015-06-22,2015-08-17,97.0,1.22
2493658,Airy + Bright Queen Anne Apartment,5177328,Andrea,Apartment,1,3237,4,1.0,1.0,1.0,Real Bed,150.0,2,365,32,32,2014-04-27,2015-12-20,97.0,1.55
175576,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,House,1,3238,2,1.0,1.0,1.0,Real Bed,95.0,3,7,181,181,2011-07-21,2015-11-25,97.0,3.33
4454295,Upper Queen Anne Craftsman House,4606439,Nadia,House,1,3239,2,1.0,1.0,1.0,Real Bed,99.0,3,1125,8,8,2015-05-06,2015-12-16,97.0,0.98
3883392,Open Plan 2bdr/1bath in Queen Anne,19932967,Pat & Roberta,Apartment,1,3240,4,1.0,2.0,3.0,Real Bed,245.0,3,14,13,13,2014-11-09,2015-10-02,98.0,0.92
8889257,Elegance in Historic Queen Anne,25899989,Ellie,House,1,3241,5,1.0,2.0,3.0,Real Bed,165.0,2,1125,3,3,2015-12-16,2016-01-02,100.0,3.0
5680462,Stunning 6 bd in THE BEST Location!,22372266,Sarah,House,1,3242,16,3.5,6.0,15.0,Real Bed,461.0,3,29,18,18,2015-06-15,2015-11-15,98.0,2.65
8988178,"Lovely Queen Anne Cottage, 2 BR",2983711,Paige,House,1,3243,5,1.0,2.0,2.0,Real Bed,109.0,3,15,1,1,2015-11-25,2015-11-25,80.0,0.73
3245876,Park Life in Lower Queen Anne,9465817,Libby,Apartment,2,3244,2,1.0,1.0,1.0,Real Bed,66.0,1,10,84,84,2014-06-30,2016-01-02,95.0,4.55
4933447,"Private Garden Suite, Bay View",25417834,Markus And Melissa,House,2,3245,2,1.0,1.0,1.0,Real Bed,99.0,2,14,45,45,2015-03-16,2015-11-06,98.0,4.58
7735464,Queen Anne Getaway Near Seattle!,6170760,Sam,Apartment,2,3246,2,2.0,1.0,1.0,Futon,200.0,1,1125,0,0,,,0.0,0.0
6291829,Grand Craftsman Home on Queen Anne,32713558,Kary,House,1,3247,10,3.5,5.0,5.0,Real Bed,700.0,3,30,5,5,2015-07-07,2015-08-10,85.0,0.82
9218403,Queen Anne View One Bedroom,14100483,Annie,Condominium,1,3248,1,1.0,1.0,1.0,Real Bed,110.0,1,1125,1,1,2016-01-03,2016-01-03,100.0,1.0
4125779,Cozy Queen Anne Finished Basement,21401856,Nick,House,2,3249,3,1.5,1.0,2.0,Real Bed,99.0,1,1125,11,11,2014-09-27,2015-10-18,84.0,0.71
8942678,Lovely Queen Anne home,46675077,Susanna,House,1,3250,8,2.0,4.0,4.0,Real Bed,450.0,4,1125,1,1,2015-12-01,2015-12-01,100.0,0.86
10106055,"Cozy Lower Level, Upper Queen Anne",51860756,Maggie & Alex,House,2,3251,2,1.0,1.0,1.0,Real Bed,75.0,1,1125,0,0,,,0.0,0.0
6362362,Charming home on Queen Anne,33147763,Tracy,House,1,3252,5,2.5,3.0,3.0,Real Bed,600.0,3,1125,1,1,2015-07-20,2015-07-20,100.0,0.18
3544550,VIEW-Monthly Rental Available,16708587,Jill,House,1,3253,8,2.5,3.0,5.0,Real Bed,450.0,4,1125,8,8,2015-07-04,2015-09-02,100.0,1.3
9025039,Cute Bungalow-Close to Everything!,68155,Lori,House,1,3254,5,1.0,2.0,3.0,Real Bed,150.0,1,1125,0,0,,,0.0,0.0
3200646,Micro Gypsy Wagon on Queen Anne,4016632,Jean-Marc,Camper/RV,2,3255,2,1.0,1.0,1.0,Real Bed,45.0,2,7,80,80,2014-07-06,2016-01-02,95.0,4.38
8859380,STUNNING VIEW of Puget Sound,3792761,Kimberly,Apartment,1,3256,6,2.0,3.0,3.0,Real Bed,300.0,2,1125,6,6,2015-10-24,2016-01-02,100.0,2.47
4520099,Open Airy Queen Anne Condo,6184895,Lana,Apartment,1,3257,3,1.0,1.0,2.0,Real Bed,80.0,2,1125,4,4,2015-01-04,2015-07-25,85.0,0.33
2481869,Airy + Bright Queen Anne Cottage,5177328,Andrea,Apartment,1,3258,4,1.0,1.0,1.0,Real Bed,175.0,2,365,38,38,2014-05-01,2015-10-11,96.0,1.86
1110749,Queen Anne 3 bed near everything,5325329,Blair,House,1,3259,6,1.5,3.0,3.0,Real Bed,325.0,2,1125,68,68,2013-06-15,2015-12-21,92.0,2.18
5978498,1914 Stunner View Ocean Mountain,31037494,Silvia,House,1,3260,4,3.0,3.0,2.0,Real Bed,175.0,4,120,8,8,2015-07-06,2015-12-03,88.0,1.31
